record_id,record_type,stage_number,stage_name,title,description,relevance,scope,limitations,counterevidence,claim_type,confidence,evidence_weight,source_title,source_author_or_org,source_year,source_url_or_citation,source_type,method_area,related_question,related_capability_or_function,assumption_status,uncertainty_description,risk_level,bias_or_access_issue,ethical_issue,downstream_use,prohibited_overextension,related_record_ids,review_status,revision_trigger,notes
S3-SRC-001,source,3,AI Future Conditions Discovery,Artificial Intelligence Index Report 2026,"Annual synthesis tracking capability, governance, evaluation, economy, science and medicine AI trends.",Supports Stage 3 technical trajectory mapping.,Adaptive technical AI futures review,Source must be used within domain scope; fast-moving evidence may date.,,,,Source-backed rapid review,Artificial Intelligence Index Report 2026,Stanford HAI AI Index Steering Committee,2026,https://arxiv.org/abs/2606.15708,annual index report,technical horizon scan,RQ1-RQ7,,,,,,,,,,accepted,,
S3-SRC-002,source,3,AI Future Conditions Discovery,International AI Safety Report 2025: First Key Update,"Expert synthesis on capability advances and risk implications, including reasoning, cyber, biology and controllability.",Supports Stage 3 technical trajectory mapping.,Adaptive technical AI futures review,Source must be used within domain scope; fast-moving evidence may date.,,,,Source-backed rapid review,International AI Safety Report 2025: First Key Update,"Bengio, Clare, Prunkl, Rismani et al.",2025,https://arxiv.org/abs/2510.13653,expert report,safety and capability,RQ1-RQ7,,,,,,,,,,accepted,,
S3-SRC-003,source,3,AI Future Conditions Discovery,International AI Safety Report 2025: Second Key Update,"Expert synthesis on technical safeguards, risk management, frontier safety frameworks and governance.",Supports Stage 3 technical trajectory mapping.,Adaptive technical AI futures review,Source must be used within domain scope; fast-moving evidence may date.,,,,Source-backed rapid review,International AI Safety Report 2025: Second Key Update,"Bengio, Clare, Prunkl et al.",2025,https://arxiv.org/abs/2511.19863,expert report,safety and governance,RQ1-RQ7,,,,,,,,,,accepted,,
S3-SRC-004,source,3,AI Future Conditions Discovery,Measuring AI Ability to Complete Long Tasks,Evaluation paper proposing task-completion time horizon as measure of AI agent capability.,Supports Stage 3 technical trajectory mapping.,Adaptive technical AI futures review,Source must be used within domain scope; fast-moving evidence may date.,,,,Source-backed rapid review,Measuring AI Ability to Complete Long Tasks,Kwa et al. / METR,2025,https://arxiv.org/abs/2503.14499,evaluation paper,agent evaluation,RQ1-RQ7,,,,,,,,,,accepted,,
S3-SRC-005,source,3,AI Future Conditions Discovery,RE-Bench: Evaluating Frontier AI R&D Capabilities,Benchmark comparing AI agents and humans on research-engineering tasks.,Supports Stage 3 technical trajectory mapping.,Adaptive technical AI futures review,Source must be used within domain scope; fast-moving evidence may date.,,,,Source-backed rapid review,RE-Bench: Evaluating Frontier AI R&D Capabilities,Wijk et al.,2024,https://arxiv.org/abs/2411.15114,benchmark paper,AI R&D evaluation,RQ1-RQ7,,,,,,,,,,accepted,,
S3-SRC-006,source,3,AI Future Conditions Discovery,OpenAI o3 and o4-mini System Card,System card for reasoning models with tools and safety evaluations.,Supports Stage 3 technical trajectory mapping.,Adaptive technical AI futures review,Source must be used within domain scope; fast-moving evidence may date.,,,,Source-backed rapid review,OpenAI o3 and o4-mini System Card,OpenAI,2025,https://openai.com/index/o3-o4-mini-system-card/,system card,foundation models,RQ1-RQ7,,,,,,,,,,accepted,,
S3-SRC-007,source,3,AI Future Conditions Discovery,DeepSeek-R1,Technical report on reinforcement learning and reasoning capability in an open-weight model.,Supports Stage 3 technical trajectory mapping.,Adaptive technical AI futures review,Source must be used within domain scope; fast-moving evidence may date.,,,,Source-backed rapid review,DeepSeek-R1,DeepSeek-AI,2025,https://arxiv.org/abs/2501.12948,technical report,foundation models,RQ1-RQ7,,,,,,,,,,accepted,,
S3-SRC-008,source,3,AI Future Conditions Discovery,Scaling LLM Test-Time Compute Optimally,Paper on inference/test-time compute as reasoning lever.,Supports Stage 3 technical trajectory mapping.,Adaptive technical AI futures review,Source must be used within domain scope; fast-moving evidence may date.,,,,Source-backed rapid review,Scaling LLM Test-Time Compute Optimally,Snell et al.,2024,https://arxiv.org/abs/2408.03314,research paper,foundation models,RQ1-RQ7,,,,,,,,,,accepted,,
S3-SRC-009,source,3,AI Future Conditions Discovery,s1: Simple test-time scaling,Replication/demonstration of budget forcing and test-time scaling.,Supports Stage 3 technical trajectory mapping.,Adaptive technical AI futures review,Source must be used within domain scope; fast-moving evidence may date.,,,,Source-backed rapid review,s1: Simple test-time scaling,Muennighoff et al.,2025,https://arxiv.org/abs/2501.19393,research paper,foundation models,RQ1-RQ7,,,,,,,,,,accepted,,
S3-SRC-010,source,3,AI Future Conditions Discovery,NoLiMa: Long-Context Evaluation Beyond Literal Matching,Counterevidence on long-context reasoning beyond literal retrieval.,Supports Stage 3 technical trajectory mapping.,Adaptive technical AI futures review,Source must be used within domain scope; fast-moving evidence may date.,,,,Source-backed rapid review,NoLiMa: Long-Context Evaluation Beyond Literal Matching,Modarressi et al.,2025,https://arxiv.org/abs/2502.05167,evaluation paper,long context,RQ1-RQ7,,,,,,,,,,accepted,,
