record_id,record_type,stage_number,stage_name,title,description,relevance,scope,limitations,counterevidence,claim_type,confidence,evidence_weight,source_title,source_author_or_org,source_year,source_url_or_citation,source_type,method_area,related_question,related_capability_or_function,assumption_status,uncertainty_description,risk_level,bias_or_access_issue,ethical_issue,downstream_use,prohibited_overextension,related_record_ids,review_status,revision_trigger,notes
S4-IN-001,traceability,4,Life Within Future Conditions,Stage 1R human baseline input,Stage 4 uses the reconciled human baseline as its authorised human input,Provides human constraints for lived future modelling,Stage 1R pass-forward only,Does not authorise curriculum or universal human architecture,Stage 1R carries cultural and variation cautions,Empirical Finding,Moderate,Anchor,Stage 1R Pass-Forward,Year Zero Stage 1R,2026,research/stage-01-reconciliation/PASS_FORWARD.md,pass-forward,human baseline,RQ1-RQ6,,adopted,Stage 1R uncertainties remain visible,moderate,Missing populations and cultural transportability remain material,,Constrains human claims,Do not infer innateness or individual diagnosis,,adopted,Reopen if Stage 1R is revised,Authority input only
S4-IN-002,traceability,4,Life Within Future Conditions,Stage 2 flourishing input,Stage 4 uses the controlled flourishing model as its evaluative lens,Provides flourishing dimensions and trade-off rules,Stage 2 pass-forward only,Not a scale or curriculum purpose,Stage 2 prohibits scoring and direct curriculum derivation,Normative Judgement,N/A,Anchor,Stage 2 Pass-Forward,Year Zero Stage 2,2026,research/stage-02-flourishing/PASS_FORWARD.md,pass-forward,flourishing,RQ2-RQ6,,adopted,Cultural transportability and measurement remain open,moderate,Risk of universalising Western dimensions,,Frames pressure analysis,Do not create scores or direct curriculum purposes,,adopted,Reopen if Stage 2 is revised,Authority input only
S4-IN-003,traceability,4,Life Within Future Conditions,Stage 3 AI conditions input,Stage 4 uses the authorised technical condition bands as future variables,Provides AI condition bands for lived modelling,Stage 3 pass-forward only,Technical bands are not predictions or adoption proof,Stage 3 prohibits benchmark to deployment leaps,Speculative Projection,Low to moderate,Anchor,Stage 3 Pass-Forward,Year Zero Stage 3,2026,research/stage-03-ai-future-conditions/PASS_FORWARD.md,pass-forward,AI future conditions,RQ1-RQ6,,adopted,Adoption and low resource patterns remain unresolved,moderate,High resource and frontier lab evidence bias,,Defines condition bands,Do not treat capability as universal adoption,,adopted,Reopen if Stage 3 is revised,Authority input only
S4-DEC-001,decision,4,Life Within Future Conditions,Use authorised input synthesis before supplemental research,The report checkpoint uses pass-forwards as the synthesis spine and does not perform new source discovery,Keeps Stage 4 focused on integration,Report review phase only,May underdevelop lived experience texture,User may request targeted sources after review,Working Assumption,N/A,N/A,,,,,,method,all RQs,,adopted,Need for supplemental sources remains open,low,,,Supports efficient report checkpoint,Do not treat current synthesis as exhaustive,S4-IN-001;S4-IN-002;S4-IN-003,adopted,If report feels too abstract then collect targeted sources,Break phase decision
S4-DEC-002,decision,4,Life Within Future Conditions,Hard break before book output,Execution stops after STAGE_REPORT.md for user review,Implements user instruction and prevents premature manuscript work,Stage 4 report checkpoint,Delays final closure and literary review,N/A,Design Decision,N/A,N/A,,,,,,workflow,all RQs,,adopted,,low,,,Protects review quality before literary transformation,Do not write book arc or manuscript before user approval,,adopted,User authorises continuation after report review,Mandatory process gate
S4-DEC-003,decision,4,Life Within Future Conditions,Use condition models not predictive scenarios,Stage 4 organises analysis around lived condition models rather than predicted future worlds,Prevents prediction and sci-fi drift,Authority report,May feel less vivid than narrative scenarios,N/A,Design Decision,N/A,N/A,,,,,,foresight,RQ1-RQ6,,adopted,Which combinations become salient remains uncertain,moderate,,,Allows Stage 5 to compare recurring pressures,Do not treat condition models as forecasts,S4-IN-003,adopted,Revisit if user requests more narrative framing,Report architecture decision
S4-CLM-001,claim,4,Life Within Future Conditions,AI changes life through mediated action conditions,AI matters for lived life when capability becomes usable verified affordable and institutionally permitted action,Central organising claim for report,Cross source synthesis from pass-forwards,Cannot estimate prevalence or timing,Stage 3 cautions against capability equalling adoption,Speculative Projection,Moderate,Anchor,,,,,,synthesis,RQ1-RQ3,,adopted,Adoption and verification remain uncertain,moderate,High resource adoption may be overrepresented,,Candidate pressure for Stage 5,Do not claim AI transforms all domains equally,S1R-PF-03;S2-PF-02;S3-F-001;S3-F-002;S3-F-008,preliminary_ready_with_cautions,Revise if adoption mechanism is overstated,Report finding 1
S4-CLM-002,claim,4,Life Within Future Conditions,Agency becomes more mediated and conditional,AI rich futures may expand agency where people can direct verify and refuse systems while eroding agency where systems are opaque or imposed,Core lived pressure,Condition based synthesis,Projection not outcome claim,Stage 2 warns autonomy is not choice alone,Speculative Projection,Moderate,Anchor,,,,,,agency,RQ1-RQ6,,adopted,Who gains agency depends on access power and institutions,high,Risk of assuming confident users have real agency,,Candidate pass-forward pressure,Do not equate more tools with more agency,S1R-PF-03;S2-PF-02;S2-NRM-003;S3-F-005,preliminary_ready_with_cautions,Revise if direction is overstated,Report finding 2
S4-CLM-003,claim,4,Life Within Future Conditions,Status shifts rather than disappears,AI may reduce some bottlenecks while shifting status competition toward authenticity judgement access reputation and verification control,Identifies recurring social pressure,Synthesis from status baseline and AI conditions,Projection not universal law,Stage 1R warns against naturalising hierarchy,Speculative Projection,Moderate,Supporting,,,,,,status,RQ1-RQ4,,adopted,Specific status forms vary by culture and institution,moderate,Less visible power may be underrepresented,,Candidate for Stage 5 comparison,Do not claim one new hierarchy is inevitable,S1R-PF-05;S2-NRM-001;S3-F-009;S3-F-010,preliminary_ready_with_cautions,Revisit after user review if too speculative,Report finding 3
S4-CLM-004,claim,4,Life Within Future Conditions,Trust becomes a daily burden,Ambient AI synthetic media agents and automated judgement may increase the cost of knowing what is real who acted and whether a system can be trusted,Core lived pressure from Stage 3 trust conditions,Condition based synthesis,Does not establish truth collapse,Stage 3 prohibits universal truth collapse rhetoric,Risk,Low to moderate,Supporting,,,,,,trust,RQ2-RQ5,,adopted,Operational uplift and social response remain uncertain,high,High resource provenance solutions may not travel,,Candidate pass-forward risk,Do not claim truth or democracy automatically collapses,S1R-PF-02;S3-F-010;TFB-09,preliminary_ready_with_cautions,Revise if stated too dramatically,Report finding 4
S4-CLM-005,claim,4,Life Within Future Conditions,Competence becomes harder to read from output,Where AI assistance is common visible output becomes weaker evidence of unaided knowledge effort skill motive or maturity,Education context and general trust pressure,Synthesis from performance caution and tool use bands,Does not imply assessment design,N/A,Empirical Finding / Speculative Projection,Moderate,Anchor,,,,,,learning and work,RQ1-RQ5,,adopted,Extent depends on domain verification and norms,moderate,,,Pass-forward candidate for later stages,Do not derive assessment design here,S1R-PF-02;S1R-PF-10;S2-PF-04;S3-F-003;S3-F-005,preliminary_ready_with_cautions,Review in Stage 9 before assessment use,Report finding 5
