record_id,record_type,stage_number,stage_name,title,description,relevance,scope,limitations,counterevidence,claim_type,confidence,evidence_weight,source_title,source_author_or_org,source_year,source_url_or_citation,source_type,method_area,related_question,related_capability_or_function,assumption_status,uncertainty_description,risk_level,bias_or_access_issue,ethical_issue,downstream_use,prohibited_overextension,related_record_ids,review_status,revision_trigger,notes
S2-A-SRC-001,source,2,Human Flourishing Model,"Basic psychological need theory: Advancements, critical themes, and future directions","Reviews evidence that satisfaction and frustration of autonomy, competence and relatedness show distinct associations with adjustment and ill-being across life domains; autonomy means volition rather than independence.",autonomy; competence; relatedness; well-being,autonomy; competence; relatedness; well-being,Theory-led review by leading SDT authors; much evidence is self-report and correlational; universality remains stronger as a hypothesis than as a culture-free measurement fact.,Other frameworks posit additional needs or different constructs; cultural work disputes individualist readings of autonomy and measurement equivalence is incomplete.,,Moderate,Anchor,"Basic psychological need theory: Advancements, critical themes, and future directions","Vansteenkiste, Maarten; Ryan, Richard M.; Soenens, Bart",2020,https://doi.org/10.1007/s11031-019-09818-1,integrative scholarly review,autonomy; competence; relatedness; well-being,What dimensions and conditions support flourishing?,,,,,,,Stage 2 synthesis only,"Do not claim three needs exhaust flourishing, have identical expression everywhere, or that offered choice proves autonomy.",,verified_included,,DOI: 10.1007/s11031-019-09818-1
S2-A-SRC-002,source,2,Human Flourishing Model,Student Motivation and Associated Outcomes: A Meta-Analysis From Self-Determination Theory,"Across educational studies, more autonomous forms of motivation are generally associated with adaptive persistence, performance and well-being outcomes, while amotivation is consistently maladaptive and controlled motivation has mixed associations.",agency; motivation; competence; education,agency; motivation; competence; education,Predominantly observational studies; construct and outcome heterogeneity; educational samples are not a general theory of flourishing; publication and common-method bias remain possible.,"Controlled motives can coexist with performance, and associations do not establish that increasing autonomous motivation alone causes all outcomes.",,Moderate,Anchor,Student Motivation and Associated Outcomes: A Meta-Analysis From Self-Determination Theory,"Howard, Joshua L.; Bureau, Julien S.; Guay, Frédéric; Chong, Jane X. Y.; Ryan, Richard M.",2021,https://doi.org/10.1177/1745691620966789,meta-analysis,agency; motivation; competence; education,What dimensions and conditions support flourishing?,,,,,,,Stage 2 synthesis only,"Do not equate autonomous motivation with unrestricted choice, compliance with endorsement, or academic performance with flourishing.",,verified_included,,DOI: 10.1177/1745691620966789
S2-A-SRC-003,source,2,Human Flourishing Model,Pathways to Student Motivation: A Meta-Analysis of Antecedents of Autonomous and Controlled Motivations,"Need satisfaction predicts more self-determined student motivation; competence was the strongest predictor in this synthesis, followed by autonomy and relatedness, and teacher autonomy support related more strongly than parental support to the included school outcomes.",competence; autonomy; relatedness; motivation,competence; autonomy; relatedness; motivation,Associational pathways dominate; studies and measures are heterogeneous; relative predictor rankings are model- and setting-dependent; school outcomes are narrower than flourishing.,"The broader SDT literature does not establish a fixed universal ranking among needs, and parent or community influence may be larger for outcomes not sampled here.",,Moderate,Anchor,Pathways to Student Motivation: A Meta-Analysis of Antecedents of Autonomous and Controlled Motivations,"Bureau, Julien S.; Howard, Joshua L.; Chong, Jane X. Y.; Guay, Frédéric",2022,https://doi.org/10.3102/00346543211042426,"meta-analysis (144 studies; >79,000 students)",competence; autonomy; relatedness; motivation,What dimensions and conditions support flourishing?,,,,,,,Stage 2 synthesis only,Do not turn the observed predictor ranking into a universal hierarchy or infer that competence should dominate other goods.,,verified_included,,DOI: 10.3102/00346543211042426
S2-A-SRC-004,source,2,Human Flourishing Model,The effects of choice on intrinsic motivation and related outcomes: A meta-analysis of research findings,"Providing choice has, on average, positive effects on intrinsic motivation, effort, task performance and perceived competence, with effects depending on the type and number of choices.",choice; agency; motivation,choice; agency; motivation,Substantial heterogeneity; many short laboratory studies; choice manipulations are not equivalent to durable agency or available opportunity.,"Choice can burden, confuse or be merely cosmetic; excessive or trivial choice does not reliably improve outcomes.",,Moderate,Anchor,The effects of choice on intrinsic motivation and related outcomes: A meta-analysis of research findings,"Patall, Erika A.; Cooper, Harris; Robinson, Jorgianne C.",2008,https://doi.org/10.1037/0033-2909.134.2.270,meta-analysis,choice; agency; motivation,What dimensions and conditions support flourishing?,,,,,,,Stage 2 synthesis only,"Do not claim more choice is always better, that choice equals autonomy, or that a menu of options establishes meaningful control.",,verified_included,,DOI: 10.1037/0033-2909.134.2.270
S2-A-SRC-005,source,2,Human Flourishing Model,Intrinsic motivation and extrinsic incentives jointly predict performance: A 40-year meta-analysis,"Intrinsic motivation and extrinsic incentives both predict performance; intrinsic motivation is more strongly related to performance quality, while incentives are more strongly related to performance quantity, and the two can jointly operate.",motivation; competence; performance,motivation; competence; performance,Performance is not flourishing; included settings and measures vary; correlational evidence is mixed with experiments and cannot resolve every causal pathway.,"External incentives are not uniformly harmful and may support quantity; intrinsic motivation is not sufficient for skilled performance without knowledge, opportunity and feedback.",,Moderate,Anchor,Intrinsic motivation and extrinsic incentives jointly predict performance: A 40-year meta-analysis,"Cerasoli, Christopher P.; Nicklin, Jessica M.; Ford, Michael T.",2014,https://doi.org/10.1037/a0035661,meta-analysis,motivation; competence; performance,What dimensions and conditions support flourishing?,,,,,,,Stage 2 synthesis only,Do not oppose all extrinsic motivation to well-being or infer that enjoyment alone produces competence.,,verified_included,,DOI: 10.1037/a0035661
S2-A-SRC-006,source,2,Human Flourishing Model,A meta-analytic investigation of the within-person self-efficacy domain: Is self-efficacy a product of past performance or a driver of future performance?,"Within persons, prior performance predicts later self-efficacy more strongly than self-efficacy predicts later performance once prior performance is considered, challenging simple confidence-causes-competence accounts.",competence beliefs; performance; counterevidence,competence beliefs; performance; counterevidence,Focused on self-efficacy and performance rather than broader competence need satisfaction or flourishing; designs and domains vary.,Between-person and experimental work can still find useful effects of efficacy beliefs under some conditions.,,Moderate,Anchor,A meta-analytic investigation of the within-person self-efficacy domain: Is self-efficacy a product of past performance or a driver of future performance?,"Sitzmann, Traci; Yeo, Gillian",2013,https://doi.org/10.1111/peps.12035,meta-analysis,competence beliefs; performance; counterevidence,What dimensions and conditions support flourishing?,,,,,,,Stage 2 synthesis only,"Do not treat confidence as competence, infer fixed ability from low confidence, or deny any causal role for efficacy beliefs.",,verified_included,,DOI: 10.1111/peps.12035
S2-A-SRC-007,source,2,Human Flourishing Model,Needs and subjective well-being around the world,"Using Gallup World Poll data, fulfilment of basic needs was associated with subjective well-being across world regions; societal circumstances and individual need fulfilment made distinguishable contributions, and associations varied by well-being component.",basic needs; subjective well-being; cross-cultural,basic needs; subjective well-being; cross-cultural,Cross-sectional self-report; broad proxy measures; national and linguistic measurement equivalence is imperfect; association is not universality of one moral model.,Culture and material conditions affect expression and relative salience; unmet needs can coexist with reported positive affect or social desirability.,,Moderate,Supporting,Needs and subjective well-being around the world,"Tay, Louis; Diener, Ed",2011,https://doi.org/10.1037/a0023779,large cross-national primary study (123 countries),basic needs; subjective well-being; cross-cultural,What dimensions and conditions support flourishing?,,,,,,,Stage 2 synthesis only,"Do not infer identical need expression, individual responsibility for deprivation, or that subjective well-being alone defines flourishing.",,verified_included,,DOI: 10.1037/a0023779
S2-A-SRC-009,source,2,Human Flourishing Model,Differentiating autonomy from individualism and independence: A self-determination theory perspective on internalization of cultural orientations and well-being,"Across four cultural samples, acting with a sense of volition toward both individualist and collectivist practices was associated with well-being, supporting a distinction between autonomy and independence.",autonomy; internalisation; cross-cultural,autonomy; internalisation; cross-cultural,"Student samples, self-report and correlational design; cultural orientations were simplified; authored within SDT.","Relational and structural critics argue that endorsement may itself be shaped by power, adaptive preference or limited alternatives.",,Moderate,Supporting,Differentiating autonomy from individualism and independence: A self-determination theory perspective on internalization of cultural orientations and well-being,"Chirkov, Valery; Ryan, Richard M.; Kim, Youngmee; Kaplan, Ulas",2003,https://doi.org/10.1037/0022-3514.84.1.97,four-country primary study,autonomy; internalisation; cross-cultural,What dimensions and conditions support flourishing?,,,,,,,Stage 2 synthesis only,"Do not equate autonomy with separation from family or community, or treat reported endorsement as proof that conditions are non-coercive.",,verified_included,,DOI: 10.1037/0022-3514.84.1.97
S2-A-SRC-010,source,2,Human Flourishing Model,What Schools Need to Know About Fostering School Belonging: A Meta-analysis,School belonging is associated with multiple individual and social factors; teacher support and positive personal characteristics were among the strongest correlates in the reviewed adolescent literature.,belonging; adolescence; relationships,belonging; adolescence; relationships,Terminology and measures were inconsistent; evidence was largely correlational and school-specific; publication and high-income-country bias are possible.,"Belonging can coexist with exclusionary group norms, conformity or unsafe institutions; not all belonging is beneficial.",,Moderate,Anchor,What Schools Need to Know About Fostering School Belonging: A Meta-analysis,"Allen, Kelly-Ann; Kern, Margaret L.; Vella-Brodrick, Dianne; Hattie, John; Waters, Lea",2018,https://doi.org/10.1007/s10648-016-9389-8,systematic review and meta-analysis,belonging; adolescence; relationships,What dimensions and conditions support flourishing?,,,,,,,Stage 2 synthesis only,"Do not individualise belonging failure, infer causality from correlates, or treat belonging as unconditional conformity.",,verified_included,,DOI: 10.1007/s10648-016-9389-8
S2-A-SRC-011,source,2,Human Flourishing Model,Adolescents' experiences of school belonging: A qualitative meta-synthesis,"Adolescent accounts synthesised belonging as being safe to be oneself through relationships, with identity recognition, group membership and safety recurring as mechanisms.",belonging; identity; safety; adolescence,belonging; identity; safety; adolescence,Only eight qualitative studies; context and researcher interpretation matter; cannot estimate prevalence or causal effect.,"Group membership can require concealment or compliance, and safety may be uneven across identities.",,Moderate,Anchor,Adolescents' experiences of school belonging: A qualitative meta-synthesis,"Craggs, Holly; Kelly, Catherine",2018,https://doi.org/10.1080/13676261.2018.1477125,qualitative meta-synthesis (8 studies),belonging; identity; safety; adolescence,What dimensions and conditions support flourishing?,,,,,,,Stage 2 synthesis only,Do not treat this synthesis as a universal definition or infer that nominal inclusion produces experienced belonging.,,verified_included,,DOI: 10.1080/13676261.2018.1477125
