record_id,record_type,stage_number,stage_name,title,description,relevance,scope,limitations,counterevidence,claim_type,confidence,evidence_weight,source_title,source_author_or_org,source_year,source_url_or_citation,source_type,method_area,related_question,related_capability_or_function,assumption_status,uncertainty_description,risk_level,bias_or_access_issue,ethical_issue,downstream_use,prohibited_overextension,related_record_ids,review_status,revision_trigger,notes
S1R-CLM-001,claim,1R,Human Baseline Reconciliation,Embodied regulation and state-sensitive functioning,Reviewed evidence supports anticipatory and reactive regulation and condition-sensitive functioning; physiological signals do not transparently disclose subjective state or fixed capacity.,Core two-layer baseline,General human baseline with adolescent and education-context modifier,Component evidence uses different populations and constructs; causal size and developmental specificity remain uncertain.,Biomarkers are non-specific and educational outcome effects are heterogeneous.,Empirical Finding,Moderate,Anchor,,,,,,cross-component reconciliation,How do embodied conditions affect action and observed functioning?,Embodied regulation,,, ,,,Stage 2 constraint only,Do not infer motive potential prognosis or fixed circuitry from a state signal or performance.,S1B-CLM-002;S1B-CLM-003;S1-CLM-010;S1-UNC-005;S1B-UNC-003,approved_with_cautions,Formal review finds false convergence or causal overreach.,Classification: partial thematic convergence; mechanisms and populations differ; inferential independence unknown beyond direct-duplicate audit.
S1R-CLM-002,claim,1R,Human Baseline Reconciliation,Bounded cognition and action,Attention information and computational capacity are limited; prior knowledge changes effective processing demand and transfer beyond familiar contexts is not automatic.,Core two-layer baseline,General-human component finding plus education-context modifier; not convergence-tested at mechanism level,General boundedness does not establish a universal capacity limit or transport of particular strategies.,Heuristics and social learning can preserve either effective action or error; laboratory retention is not authentic far transfer.,Empirical Finding,Moderate,Anchor,,,,,,cross-component reconciliation,How do cognitive limits and knowledge interact?,Bounded cognition,,, ,,,Stage 2 constraint only,Do not equate recall with understanding or transfer or create a universal bias inventory.,S1B-CLM-005;S1-CLM-004;S1-CLM-005;S1-UNC-002;S1B-UNC-001,approved_with_cautions,Formal review finds construct mismatch or unsupported generalisation.,Classification: component-specific layers; underlying review/sample overlap not assessed.
S1R-CLM-003,claim,1R,Human Baseline Reconciliation,Agency and motivational quality,Reviewed literatures distinguish control beliefs available means opportunities habits planning and motivational qualities; no single trait or causal agency architecture is established.,Core two-layer baseline,Two-layer synthesis of component-specific constructs; convergence limited to caution against trait/compliance inference,Western-developed autonomy and authorship constructs and one shared reward source reduce independence.,Persistence can be maladaptive; habits can conflict with goals; visible effort can arise from pressure as well as endorsement.,Empirical Finding,Moderate,Anchor,,,,,,cross-component reconciliation,What can observed action reveal about agency and motive?,Agency and motivation,,, ,,,Stage 2 constraint only,Do not infer agency endorsement or responsibility from confidence persistence choice or compliance.,S1B-CLM-004;S1-CLM-001;S1-CLM-002;S1-CLM-003;S1-UNC-001;S1B-UNC-004,approved_with_cautions,Construct-equivalent cross-cultural evidence or review shows integration is misleading.,Western-developed constructs; partly source-dependent through S1-SRC-009 / S1B-W2-SRC-006.
S1R-CLM-004,claim,1R,Human Baseline Reconciliation,Affiliation and boundaries,Across represented settings social networks commonly include overlapping kin and non-kin ties; categories can alter expectations without inherently producing hostility. Conditions linking affiliation with care indifference exclusion or hostility remain unresolved.,Core general baseline,Partial thematic convergence; mechanisms and populations differ,Western belonging measures and sparse field-site coverage limit universality; school-based evidence misses disconnected populations.,Category effects vary with norms identification and task meaning; contact and cross-cutting identities do not mechanically dissolve boundaries.,Empirical Finding,Moderate,Anchor,,,,,,cross-component reconciliation,How do affiliation and boundaries shape social action?,Affiliation and boundaries,,, ,,,Stage 2 constraint only,Do not infer inevitable tribalism a natural group unit or belonging from proximity or popularity.,S1B-CLM-006;S1-CLM-009;S1-CLM-011;S1-CLM-012;S1-CLM-013;S1-UNC-006;S1B-UNC-005,approved_with_cautions,Formal review identifies unsupported cross-setting generalisation.,Direct duplication checked; inferential independence unknown; care/exclusion linked to S1R-UNC-004 rather than resolved.
S1R-CLM-005,claim,1R,Human Baseline Reconciliation,Plural rank and influence,Reviewed evidence distinguishes prestige dominance authority inherited position and resource control; advantage can reinforce itself under some conditions and can be resisted.,Core general baseline,Stage 1B component-specific general baseline with separate Stage 1A peer-status modifier,Evidence is uneven across societies genders and public versus domestic domains; the full feedback loop is not jointly identified.,Rank can be domain-specific and unstable; esteem need not become command or resource control; apparent egalitarianism may conceal inequality.,Empirical Finding,Moderate,Supporting,,,,,,cross-component reconciliation,How do status and power recur without becoming inevitable?,Rank and influence,,, ,,,Stage 2 constraint only,Do not treat hierarchy as unitary innate inevitable meritorious or legitimate.,S1B-CLM-007;S1B-CLM-008;S1-EVD-019;S1B-UNC-006,approved_with_cautions,Broader gendered and cross-cultural evidence changes the distinctions or feedback account.,Not cross-component convergence; evidence coverage is uneven across societies genders and visible domains.
S1R-CLM-006,claim,1R,Human Baseline Reconciliation,Conditional collective action,Observed cooperation and punishment outcomes vary with expectations reciprocity boundaries rules sanction structure power and retaliation.,Core general baseline,Component-specific general human baseline from Stage 1B,Evidence is weighted toward games and selected cases and does not establish durable institutional causation.,Punishment can target contributors reduce welfare or provoke retaliation and is neither necessary nor sufficient for cooperation.,Empirical Finding,Moderate,Supporting,,,,,,cross-component reconciliation,What conditions accompany cooperation and enforcement?,Collective action,,, ,,,Stage 2 constraint only,Do not infer justice legitimacy benevolence selfishness or one institutional recipe.,S1B-CLM-009;S1B-CLM-010;S1B-UNC-007,approved_with_cautions,Field evidence materially changes conditional outcome patterns.,Classification: component-specific general human baseline; Stage 1A offers no passed substantive counterpart.
S1R-CLM-007,claim,1R,Human Baseline Reconciliation,Meaning commitment and coercion,Western meaning research distinguishes coherence direction or purpose and mattering; separate evidence links ritual protected values and contribution conditionally with commitment-related outcomes.,Core general baseline,Component-specific and culturally bounded,Meaning measures are Western-heavy; ritual studies face selection; contribution may be coerced; evidence bases do not establish one mechanism.,Role fulfilment may organise meaning differently; ritual can accompany exclusion and protected values can entrench conflict.,Empirical Finding,Moderate,Supporting,,,,,,cross-component reconciliation,How are commitments made meaningful and when are they coerced?,Meaning and commitment,,, ,,,Stage 2 question only,Do not infer universal purpose sacred values necessary ritual beneficial sacrifice or voluntary contribution.,S1B-CLM-011;S1B-CLM-016;S1-CLM-001;S1-CLM-002;S1-CLM-003;S1B-UNC-008,approved_with_cautions,Construct-equivalent cross-cultural or coercion-sensitive evidence changes the claims.,Classification: component-specific and partly unresolved; compliance/endorsement overlap is not source convergence.
S1R-CLM-008,claim,1R,Human Baseline Reconciliation,Measurement and structured variation,Measurement design translation and construct equivalence affect which differences become visible and comparable; population patterns are not complete individual profiles.,Core two-layer baseline,Directly source-dependent convergence on a measurement caution; substantive transportability unresolved,Shared sources and repeated constructs reduce independence; measurement failure does not eliminate real variation.,Some constructs show partial invariance and useful bounded comparisons; sampling critique does not invalidate every finding.,Empirical Finding,Moderate,Anchor,,,,,,cross-component reconciliation,How should variation and measurement constrain inference?,Variation and measurement,,, ,,,Stage 2 constraint only,Do not treat measured difference as essence non-invariance as no variation or a group average as an individual future.,S1B-CLM-012;S1B-CLM-017;S1-CLM-014;S1-CLM-015;S1-UNC-007;S1-UNC-008;S1B-UNC-001;S1B-UNC-003,approved_with_cautions,Improved equivalent measures or review identifies incompatible constructs.,Five DOI-identical records; overlap among primary samples inside reviews not assessed.
S1R-CLM-009,claim,1R,Human Baseline Reconciliation,Adolescent control and social salience,Adolescents possess meaningful control while reliability of deployment and goal priorities may vary with development task emotion and social context; no single maturity timetable is established.,Layer two modifier,Adolescent and education-context modifier,Stage 1B excluded adolescence; Stage 1A evidence is Western-heavy and task-limited.,Age puberty sensation seeking and risk do not follow one curve; laboratory tasks are imperfect proxies for everyday action.,Empirical Finding,Moderate,Anchor,,,,,,cross-component reconciliation,What adolescent modifiers must the baseline preserve?,Adolescent development,,, ,,,Stage 2 constraint only,Do not infer irrationality recklessness maturity or incapacity from age puberty or one task.,S1-CLM-006;S1-CLM-007;S1-CLM-008;S1-CLM-009;S1-UNC-003,approved_with_cautions,New component review materially changes adolescent developmental constraints.,Classification: adolescent/education-context modifier; no Stage 1B convergence test.
S1R-CLM-010,claim,1R,Human Baseline Reconciliation,Educational observation is incomplete evidence,An isolated educational performance can reflect interactions among knowledge processing demands motive bodily state development opportunity and context but cannot identify their contribution in an individual case.,Layer two modifier,Education-context interpretive caution,The synthesis cannot diagnose hidden mechanisms and must not become context determinism.,A weak performance may reflect a real knowledge or skill gap; stable individual differences and agency remain possible.,Empirical Finding,Moderate,Anchor,,,,,,cross-component reconciliation,What may be inferred from observed educational performance?,Educational interpretation,,, ,,,Stage 2 constraint only,Do not treat performance as a complete reading of person or context as an automatic explanation or excuse.,S1-CLM-004;S1-CLM-015;S1-ASM-002;S1B-CLM-012,approved_with_cautions,Formal review finds the interaction synthesis unfalsifiable or stronger than component records.,Classification: adolescent/education-context modifier with a convergent general inference caution.
