record_id,record_type,stage_number,stage_name,title,description,relevance,scope,limitations,counterevidence,claim_type,confidence,evidence_weight,source_title,source_author_or_org,source_year,source_url_or_citation,source_type,method_area,related_question,related_capability_or_function,assumption_status,uncertainty_description,risk_level,bias_or_access_issue,ethical_issue,downstream_use,prohibited_overextension,related_record_ids,review_status,revision_trigger,notes
S1-SRC-001,source,1,Human Baseline,Pathways to Student Motivation: A Meta-Analysis of Antecedents of Autonomous and Controlled Motivations,Teacher autonomy support and need satisfaction were associated with self-determined motivation; competence was the strongest unique need-level predictor.,Direct for W1 Stage 1 evidence,"144 samples; 79,079 students; mean age 16.55","Correlational, highly heterogeneous, and not exclusively secondary-school evidence.",,,,Anchor,Pathways to Student Motivation: A Meta-Analysis of Antecedents of Autonomous and Controlled Motivations,"Julien S. Bureau, Joshua L. Howard, Jane X. Y. Chong, Frédéric Guay",2022,https://doi.org/10.3102/00346543211042426,Meta-analysis,W1,W1,,,,,Broad educational levels and substantial cross-study heterogeneity limit KS3-KS4 specificity.,,Stage 1 synthesis subject to Gate 2 review,Do not infer causal effects or that competence alone is sufficient for adolescent motivation.,,verified_included,,Original local number 1; contrary/boundary: no.
S1-SRC-002,source,1,Human Baseline,Student Motivation and Associated Outcomes: A Meta-Analysis From Self-Determination Theory,Intrinsic motivation related to success and well-being; identified regulation related strongly to persistence; external regulation showed limited adaptive associations.,Direct for W1 Stage 1 evidence,"344 samples; 223,209 students; 26 outcomes",Mostly observational evidence across broad ages and educational contexts.,Boundary-setting source,,,Anchor,Student Motivation and Associated Outcomes: A Meta-Analysis From Self-Determination Theory,"Joshua L. Howard, Julien Bureau, Frédéric Guay, Jane X. Y. Chong, Richard M. Ryan",2021,https://doi.org/10.1177/1745691620966789,Meta-analysis,W1,W1,,,,,"Broad age range, observational designs, and common-method measurement constrain causal interpretation.",,Stage 1 synthesis subject to Gate 2 review,Do not infer that intrinsic motivation is always necessary or that controlled motives never support short-term action.,,verified_included,,Original local number 2; contrary/boundary: yes.
S1-SRC-003,source,1,Human Baseline,A Meta-Analytic Review of the Relationships Between Autonomy Support and Positive Learning Outcomes,"Autonomy support correlated most strongly with autonomous motivation, engagement, and self-beliefs and least strongly with academic performance.",Direct for W1 Stage 1 evidence,"153 studies; 179 independent samples; 213,612 students","Wide heterogeneity, broad age range, perceived-support measures, and predominantly correlational designs.",Boundary-setting source,,,Anchor,A Meta-Analytic Review of the Relationships Between Autonomy Support and Positive Learning Outcomes,"Sakhavat Mammadov, Kayla Schroeder",2023,https://doi.org/10.1016/j.cedpsych.2023.102235,Meta-analysis,W1,W1,,,,,"Perceived-support measures, broad educational levels, and gender moderation limit direct KS3-KS4 generalisation.",,Stage 1 synthesis subject to Gate 2 review,Do not treat autonomy support as a demonstrated direct cause of academic performance.,,verified_included,,Original local number 3; contrary/boundary: yes.
S1-SRC-004,source,1,Human Baseline,Effects of Need Supportive Teaching on Early Adolescents' Motivation and Engagement: A Review of the Literature,Student-perceived need-supportive teaching related positively to motivation and engagement.,Direct for W1 Stage 1 evidence,71 studies of early adolescents,Observed or teacher-reported support produced smaller or null associations; causal evidence was limited.,Boundary-setting source,,,Anchor,Effects of Need Supportive Teaching on Early Adolescents' Motivation and Engagement: A Review of the Literature,"Kim Stroet, Marie-Christine Opdenakker, Alexander Minnaert",2013,https://doi.org/10.1016/j.edurev.2012.11.003,Systematic review,W1,W1,,,,,Heavy reliance on student perceptions creates common-method risk; review predates recent secondary-school evidence.,,Stage 1 synthesis subject to Gate 2 review,Do not equate perceived support with observed teaching behaviour or established causality.,,verified_included,,Original local number 4; contrary/boundary: yes.
S1-SRC-005,source,1,Human Baseline,Self-Determination Theory Applied to Physical Education: A Systematic Review and Meta-Analysis,Need support and autonomous motivation related to engagement and adaptive physical-education outcomes.,Contextual for W1 Stage 1 evidence,School physical-education studies involving children and adolescents,"Domain-specific, heterogeneous, and substantially reliant on correlational self-report evidence.",Boundary-setting source,,,Supporting,Self-Determination Theory Applied to Physical Education: A Systematic Review and Meta-Analysis,Diego Vasconcellos et al.,2020,https://doi.org/10.1037/edu0000420,Systematic review and meta-analysis,W1,W1,,,,,Physical-education context and self-report measures limit transfer to other subjects and learning environments.,,Stage 1 synthesis subject to Gate 2 review,Do not generalise physical-education associations unchanged to all KS3-KS4 learning.,,verified_included,,Original local number 5; contrary/boundary: yes.
S1-SRC-006,source,1,Human Baseline,Self-Determined Motivation and Physical Activity in Children and Adolescents: A Systematic Review and Meta-Analysis,Autonomous motivation showed moderate positive associations with physical activity; controlled motivation and amotivation showed weak negative associations.,Contextual for W1 Stage 1 evidence,"46 studies; 15,984 children and adolescents","Mostly observational, heterogeneous, and limited to physical activity.",Boundary-setting source,,,Contextual,Self-Determined Motivation and Physical Activity in Children and Adolescents: A Systematic Review and Meta-Analysis,"Katherine B. Owen, Jordan Smith, David R. Lubans, Johan Y. Y. Ng, Chris Lonsdale",2014,https://doi.org/10.1016/j.ypmed.2014.07.033,Systematic review and meta-analysis,W1,W1,,,,,"Physical-activity outcomes, heterogeneous measures, and methodological shortcomings constrain educational transfer.",,Stage 1 synthesis subject to Gate 2 review,Do not treat physical-activity motivation as equivalent to academic motivation or attainment.,,verified_included,,Original local number 6; contrary/boundary: yes.
S1-SRC-007,source,1,Human Baseline,Self-Determination Theory Based Instructional Interventions and Motivational Regulations in Organized Physical Activity: A Systematic Review and Multivariate Meta-Analysis,Interventions produced small improvements in intrinsic and identified motivation and small reductions in external regulation and amotivation.,Contextual for W1 Stage 1 evidence,"38 intervention studies; 12,457 participants; weighted mean age 15.4",Heterogeneous effects; no effects for integrated or introjected regulation; physical-activity settings.,Boundary-setting source,,,Supporting,Self-Determination Theory Based Instructional Interventions and Motivational Regulations in Organized Physical Activity: A Systematic Review and Multivariate Meta-Analysis,"Mika Manninen, Rod Dishman, Yongju Hwang, Eric Magrum, Yangyang Deng, Sami Yli-Piipari",2023,https://doi.org/10.1016/j.psychsport.2022.102248,Systematic review and multivariate meta-analysis,W1,W1,,,,,"Organised physical-activity settings and variation in study quality, duration, and comparators limit generalisation.",,Stage 1 synthesis subject to Gate 2 review,"Do not infer large, uniform, or cross-subject intervention effects from small heterogeneous effects.",,verified_included,,Original local number 7; contrary/boundary: yes.
S1-SRC-008,source,1,Human Baseline,Effects of Out-of-School Physical Activity Interventions Based on Self-Determination Theory in Children and Adolescents: A Systematic Review and Meta-Analysis,"Pooled effects were nonsignificant for need satisfaction, motivation, amotivation, and physical activity.",Contextual for W1 Stage 1 evidence,Nine youth intervention studies,"Small evidence base, wide confidence intervals, and heterogeneous interventions.",Boundary-setting source,,,Supporting,Effects of Out-of-School Physical Activity Interventions Based on Self-Determination Theory in Children and Adolescents: A Systematic Review and Meta-Analysis,Miguel Á. Tapia-Serrano et al.,2023,https://doi.org/10.1111/sms.14436,Systematic review and meta-analysis,W1,W1,,,,,Small English- and Spanish-language evidence base with out-of-school physical-activity focus.,,Stage 1 synthesis subject to Gate 2 review,Do not claim SDT-labelled youth interventions reliably change motivation or behaviour across settings.,,verified_included,,Original local number 8; contrary/boundary: yes.
S1-SRC-009,source,1,Human Baseline,A Meta-Analytic Review of Experiments Examining the Effects of Extrinsic Rewards on Intrinsic Motivation,Expected tangible contingent rewards reduced subsequent free-choice engagement on average; positive feedback increased interest and engagement.,Direct for W1 Stage 1 evidence,"128 studies across children, students, and adults","Older, laboratory-heavy evidence; free-choice engagement is not equivalent to learning.",Boundary-setting source,,,Supporting,A Meta-Analytic Review of Experiments Examining the Effects of Extrinsic Rewards on Intrinsic Motivation,"Edward L. Deci, Richard Koestner, Richard M. Ryan",1999,https://doi.org/10.1037/0033-2909.125.6.627,Meta-analysis of experiments,W1,W1,,,,,Older laboratory tasks and mixed-age samples limit ecological and KS3-KS4 validity.,,Stage 1 synthesis subject to Gate 2 review,"Do not infer that all rewards undermine learning, performance, or motivation in every context.",,verified_included,,Original local number 9; contrary/boundary: yes.
S1-SRC-010,source,1,Human Baseline,Intrinsic Motivation and Extrinsic Incentives Jointly Predict Performance: A 40-Year Meta-Analysis,"Intrinsic motivation predicted performance quality more strongly, while incentives predicted performance quantity more strongly.",Contextual for W1 Stage 1 evidence,"183 samples; 212,468 participants across school, work, and physical domains",Broad domains and ages; much evidence was correlational and not adolescent-specific.,Boundary-setting source,,,Contextual,Intrinsic Motivation and Extrinsic Incentives Jointly Predict Performance: A 40-Year Meta-Analysis,"Christopher P. Cerasoli, Jessica M. Nicklin, Michael T. Ford",2014,https://doi.org/10.1037/a0035661,Meta-analysis,W1,W1,,,,,Cross-domain and adult-heavy evidence limits adolescent educational specificity.,,Stage 1 synthesis subject to Gate 2 review,Do not treat incentives and intrinsic motivation as inherently antagonistic or interchangeable across outcomes.,,verified_included,,Original local number 10; contrary/boundary: yes.
