record_id,record_type,stage_number,stage_name,title,description,relevance,scope,limitations,counterevidence,claim_type,confidence,evidence_weight,source_title,source_author_or_org,source_year,source_url_or_citation,source_type,method_area,related_question,related_capability_or_function,assumption_status,uncertainty_description,risk_level,bias_or_access_issue,ethical_issue,downstream_use,prohibited_overextension,related_record_ids,review_status,revision_trigger,notes
S1B-W5-SRC-001,source,1B,General Human Baseline,Governing the Commons,Durable commons use fitted rules monitoring sanctions and conflict resolution.,institutions,commons,Cases are not universal causal recipes.,Local governance can fail.,,,Anchor,Governing the Commons,Elinor Ostrom,1990,doi:10.1017/CBO9780511807763,monograph,W5,W5,,,,,Case coverage is uneven.,,Stage 1B synthesis and Stage 1R reconciliation only,Do not claim self-governance always succeeds.,,verified_included,,Not innateness evidence.
S1B-W5-SRC-002,source,1B,General Human Baseline,Collective Action and the Evolution of Social Norms,Conditional cooperators punishers and self-regarding actors interact with rules.,institutions,collective-action,Types are not fixed persons.,Punishment is not necessary or sufficient.,,,Anchor,Collective Action and the Evolution of Social Norms,Elinor Ostrom,2000,doi:10.1257/jep.14.3.137,review,W5,W5,,,,,Evidence substantially Western.,,Stage 1B synthesis and Stage 1R reconciliation only,Do not essentialise response types.,,verified_included,,Context changes outcomes.
S1B-W5-SRC-003,source,1B,General Human Baseline,A General Framework for Analyzing Sustainability of Social-Ecological Systems,Coordination depends on resources users governance and setting.,institutions,social-ecological-systems,Framework does not estimate causality.,No arrangement fits all problems.,,,Anchor,A General Framework for Analyzing Sustainability of Social-Ecological Systems,Elinor Ostrom,2009,PMID:19628857,framework,W5,W5,,,,,Resource cases dominate.,,Stage 1B synthesis and Stage 1R reconciliation only,Do not treat as predictive law.,,verified_included,,Fit matters.
S1B-W5-SRC-004,source,1B,General Human Baseline,Economic Man in Cross-Cultural Perspective,Self-interest predictions failed while behaviour varied substantially.,cooperation,15 small-scale societies,Games imperfectly map local meanings.,No universal prosocial profile.,,,Anchor,Economic Man in Cross-Cultural Perspective,Joseph Henrich et al.,2005,doi:10.1017/S0140525X05000142,cross-cultural-synthesis,W5,W5,,,,,Translation and sampling vary.,,Stage 1B synthesis and Stage 1R reconciliation only,Do not rank cultures or infer innateness.,,verified_included,,Non-WEIRD anchor. | Deduplicated aliases: S1B-W5-SRC-004;S1B-W6-SRC-012;S1B-W8-SRC-016;S1B-W3-SRC-015
S1B-W5-SRC-005,source,1B,General Human Baseline,Costly Punishment Across Human Societies,All samples showed some costly punishment but magnitude varied.,enforcement,15 populations,Games cannot identify origin.,Punishment is not uniformly beneficial.,,,Anchor,Costly Punishment Across Human Societies,Joseph Henrich et al.,2006,PMID:16794075,cross-cultural-experiment,W5,W5,,,,,Small samples and equivalence concerns.,,Stage 1B synthesis and Stage 1R reconciliation only,Do not call punishment innate.,,verified_included,,Needs antisocial boundaries.
S1B-W5-SRC-006,source,1B,General Human Baseline,Markets Religion Community Size and the Evolution of Fairness and Punishment,Fairness and punishment covaried with institutional measures.,institutions,15 populations,Associations are not causal.,Does not prove group selection.,,,Anchor,Markets Religion Community Size and the Evolution of Fairness and Punishment,Joseph Henrich et al.,2010,PMID:20299588,cross-cultural-experiment,W5,W5,,,,,Broad constructs compress histories.,,Stage 1B synthesis and Stage 1R reconciliation only,Do not claim institutions cause morality.,,verified_included,,Origin underdetermined. | Deduplicated aliases: S1B-W5-SRC-006;S1B-W6-SRC-013
S1B-W5-SRC-007,source,1B,General Human Baseline,Cooperation and Punishment in Public Goods Experiments,Peer punishment raised contributions.,enforcement,public-goods,Stylised sanctions lack legitimacy evidence.,Sanctions can reduce welfare.,,,Anchor,Cooperation and Punishment in Public Goods Experiments,Ernst Fehr and Simon Gächter,2000,doi:10.1257/aer.90.4.980,experiment,W5,W5,,,,,European pool.,,Stage 1B synthesis and Stage 1R reconciliation only,Do not claim punishment always helps.,,verified_included,,Retaliation possible.
S1B-W5-SRC-008,source,1B,General Human Baseline,Altruistic Punishment in Humans,Participants punished free riders without future return.,enforcement,punishment,Altruistic describes payoffs not motive.,Net benefit unproven.,,,Anchor,Altruistic Punishment in Humans,Ernst Fehr and Simon Gächter,2002,doi:10.1038/415137a,experiment,W5,W5,,,,,Western student sample.,,Stage 1B synthesis and Stage 1R reconciliation only,Do not infer innate morality.,,verified_included,,Mechanism not origin.
S1B-W5-SRC-009,source,1B,General Human Baseline,Are People Conditionally Cooperative?,Sample contained conditional cooperators free riders and other patterns.,cooperation,public-goods,Categories depend on method.,Proportions are not constants.,,,Anchor,Are People Conditionally Cooperative?,"Urs Fischbacher, Simon Gächter and Ernst Fehr",2001,doi:10.1016/S0165-1765(01)00394-9,experiment,W5,W5,,,,,Single Western lab.,,Stage 1B synthesis and Stage 1R reconciliation only,Do not treat types as traits.,,verified_included,,Expectation-sensitive.
S1B-W5-SRC-010,source,1B,General Human Baseline,Social Preferences Beliefs and the Dynamics of Free Riding,Imperfect conditional cooperation can accumulate toward free riding.,cooperation,public-goods,One lab mechanism is not universal.,Cooperation need not always collapse.,,,Anchor,Social Preferences Beliefs and the Dynamics of Free Riding,Urs Fischbacher and Simon Gächter,2010,doi:10.1257/aer.100.1.541,experiment,W5,W5,,,,,Western pool.,,Stage 1B synthesis and Stage 1R reconciliation only,Do not infer conscious calculation.,,verified_included,,Feedback mechanism.
